-1.0262493256 -0.0003673469
-1.0262480843 -0.0014042851
-1.0262457505 -0.0024412213
-1.0262423243 -0.0034781543
-1.0262378056 -0.0045150829
-1.0262321945 -0.0055520060
-1.0262254910 -0.0065889224
-1.0262176950 -0.0076258310
-1.0262088066 -0.0086627306
-1.0261988259 -0.0096996201
-1.0261877527 -0.0107364983
-1.0261755871 -0.0117733640
-1.0261623292 -0.0128102162
-1.0261479789 -0.0138470536
-1.0261325363 -0.0148838751
-1.0261160013 -0.0159206796
-1.0260983741 -0.0169574659
-1.0260796545 -0.0179942328
-1.0260598427 -0.0190309792
-1.0260389386 -0.0200677039
-1.0260169424 -0.0211044058
-1.0259938539 -0.0221410837
-1.0259696732 -0.0231777365
-1.0259444004 -0.0242143631
-1.0259180354 -0.0252509622
-1.0258905784 -0.0262875327
-1.0258620293 -0.0273240735
-1.0258323882 -0.0283605834
-1.0258016550 -0.0293970613
-1.0257698299 -0.0304335059
-1.0257369129 -0.0314699162
-1.0257029039 -0.0325062911
-1.0256678031 -0.0335426292
-1.0256316105 -0.0345789296
-1.0255943261 -0.0356151910
-1.0255559500 -0.0366514123
-1.0255164821 -0.0376875923
-1.0254759226 -0.0387237299
-1.0254342715 -0.0397598239
-1.0253915288 -0.0407958732
-1.0253476946 -0.0418318767
-1.0253027689 -0.0428678331
-1.0252567518 -0.0439037413
-1.0252096433 -0.0449396002
-1.0251614435 -0.0459754086
-1.0251121525 -0.0470111654
-1.0250617702 -0.0480468694
-1.0250102967 -0.0490825195
-1.0249577322 -0.0501181144
-1.0249040766 -0.0511536531
-1.0248493300 -0.0521891345
-1.0247934925 -0.0532245572
-1.0247365641 -0.0542599203
-1.0246785450 -0.0552952225
-1.0246194350 -0.0563304627
-1.0245592345 -0.0573656398
-1.0244979433 -0.0584007526
-1.0244355615 -0.0594357999
-1.0243720893 -0.0604707805
-1.0243075267 -0.0615056935
-1.0242418737 -0.0625405375
-1.0241751305 -0.0635753114
-1.0241072971 -0.0646100142
-1.0240383736 -0.0656446445
-1.0239683601 -0.0666792014
-1.0238972566 -0.0677136836
-1.0238250632 -0.0687480899
-1.0237517800 -0.0697824193
-1.0236774071 -0.0708166706
-1.0236019445 -0.0718508426
-1.0235253924 -0.0728849342
-1.0234477509 -0.0739189442
-1.0233690199 -0.0749528715
-1.0232891996 -0.0759867149
-1.0232082902 -0.0770204732
-1.0231262916 -0.0780541455
-1.0230432039 -0.0790877304
-1.0229590274 -0.0801212268
-1.0228737619 -0.0811546336
-1.0227874078 -0.0821879496
-1.0226999649 -0.0832211737
-1.0226114335 -0.0842543047
-1.0225218137 -0.0852873415
-1.0224311054 -0.0863202829
-1.0223393090 -0.0873531279
-1.0222464243 -0.0883858751
-1.0221524516 -0.0894185235
-1.0220573909 -0.0904510720
-1.0219612423 -0.0914835193
-1.0218640061 -0.0925158644
-1.0217656821 -0.0935481061
-1.0216662707 -0.0945802431
